"Category","Occurrence","Action item","Subject","Group","Description","Documentation references","Recommended action","Filtered","Estimated complexity"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.NEW_PARTITION_PROC: 3108:3117","1700","NEW_PARTITION_PROC.TABLE_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: NEW_PARTITION_PROC.TABLE_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.NEW_PARTITION_PROC: 3205:3214","1700","NEW_PARTITION_PROC.TABLE_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: NEW_PARTITION_PROC.TABLE_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.NEW_PARTITION_PROC: 3261:3270","1700","NEW_PARTITION_PROC.TABLE_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: NEW_PARTITION_PROC.TABLE_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.NEW_PARTITION_PROC: 3388:3399","1700","NEW_PARTITION_PROC.PART_COUNTER","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: NEW_PARTITION_PROC.PART_COUNTER","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.NEW_PARTITION_PROC: 3427:3430","1700","NEW_PARTITION_PROC.STMT","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: NEW_PARTITION_PROC.STMT","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.NEW_PARTITION_PROC: 3532:3540","1700","PARTITION_TMP_3.VERTEX_ID","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: PARTITION_TMP_3.VERTEX_ID","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.NEW_PARTITION_PROC: 3542:3545","1700","PARTITION_TMP_3.P_ID","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: PARTITION_TMP_3.P_ID","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.NEW_PARTITION_PROC: 3547:3547","1700","PARTITION_TMP_3.X","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: PARTITION_TMP_3.X","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.NEW_PARTITION_PROC: 3549:3549","1700","PARTITION_TMP_3.Y","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: PARTITION_TMP_3.Y","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.NEW_PARTITION_PROC: 3615:3626","1700","NEW_PARTITION_PROC.PART_COUNTER","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: NEW_PARTITION_PROC.PART_COUNTER","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 470:476","1700","RECOVER_GRAPH_PARTITION.MAX_PID","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.MAX_PID","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 520:526","1700","RECOVER_GRAPH_PARTITION.MIN_PID","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.MIN_PID","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 551:739","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 595:604","1700","RECOVER_GRAPH_PARTITION.P_TAB_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.P_TAB_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 655:661","1700","RECOVER_GRAPH_PARTITION.P_LEVEL","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.P_LEVEL","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 691:697","1700","RECOVER_GRAPH_PARTITION.MIN_PID","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.MIN_PID","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 732:738","1700","RECOVER_GRAPH_PARTITION.MAX_PID","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.MAX_PID","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 754:760","1700","RECOVER_GRAPH_PARTITION.MIN_PID","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.MIN_PID","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 763:769","1700","RECOVER_GRAPH_PARTITION.MAX_PID","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.MAX_PID","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 792:798","1700","RECOVER_GRAPH_PARTITION.P_LEVEL","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.P_LEVEL","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 831:831","1700","I","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: I","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 865:874","1700","RECOVER_GRAPH_PARTITION.P_TAB_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.P_TAB_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 886:888","1700","RECOVER_GRAPH_PARTITION.PID","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.PID","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 904:931","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 917:930","1700","RECOVER_GRAPH_PARTITION.TMP_P_TAB_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.TMP_P_TAB_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 959:1023","1700","MDSYS.SDO_ROUTER_PARTITION.NEW_PARTITION_PROC(VARCHAR2,NUMBER,NUMBER,BOOLEAN,NUMBER)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.NEW_PARTITION_PROC(VARCHAR2,NUMBER,NUMBER,BOOLEAN,NUMBER)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 978:987","1700","RECOVER_GRAPH_PARTITION.P_TAB_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.P_TAB_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 990:997","1700","RECOVER_GRAPH_PARTITION.MAX_V_NO","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.MAX_V_NO","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 999:1001","1700","RECOVER_GRAPH_PARTITION.PID","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.PID","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 1003:1012","1700","RECOVER_GRAPH_PARTITION.MAKE_EQUAL","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.MAKE_EQUAL","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 1014:1022","1700","RECOVER_GRAPH_PARTITION.P_COUNTER","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.P_COUNTER","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 1037:1145","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 1076:1085","1700","RECOVER_GRAPH_PARTITION.P_TAB_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.P_TAB_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 1116:1116","1700","J","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: J","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 1142:1144","1700","RECOVER_GRAPH_PARTITION.PID","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.PID","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 1184:1192","1700","RECOVER_GRAPH_PARTITION.P_COUNTER","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.P_COUNTER","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 1231:1233","1700","RECOVER_GRAPH_PARTITION.PID","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.PID","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 1347:1407","1700","MDSYS.SDO_ROUTER_PARTITION.ADJUST_FINAL_PID(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.ADJUST_FINAL_PID(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 1396:1405","1700","RECOVER_GRAPH_PARTITION.P_TAB_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.P_TAB_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 1413:1487","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 1458:1467","1700","RECOVER_GRAPH_PARTITION.P_TAB_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.P_TAB_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 1524:1543","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 1550:1654","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 1605:1607","1700","RECOVER_GRAPH_PARTITION.PID","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.PID","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.RECOVER_GRAPH_PARTITION: 1632:1641","1700","RECOVER_GRAPH_PARTITION.P_TAB_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: RECOVER_GRAPH_PARTITION.P_TAB_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.SETUP_TABLES: 34:94","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.SETUP_TABLES: 104:134","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.SETUP_TABLES: 412:442","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.SETUP_TABLES: 720:750","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.SETUP_TABLES: 1020:1044","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.SETUP_TABLES: 1124:1148","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.SETUP_TABLES: 1228:1259","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.SETUP_TABLES: 1345:1376","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.SETUP_TABLES: 1462:1491","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.SETUP_TABLES: 1576:1605","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.UPDATE_NODE_PART_EDGE_ARRAYS: 316:345","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.UPDATE_NODE_PART_EDGE_ARRAYS: 609:612","1700","UPDATE_NODE_PART_EDGE_ARRAYS.STMT","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: UPDATE_NODE_PART_EDGE_ARRAYS.STMT","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.UPDATE_NODE_PART_EDGE_ARRAYS: 907:923","1700","MDSYS.NUM_ARRAY","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.NUM_ARRAY","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.UPDATE_NODE_PART_EDGE_ARRAYS: 1212:1215","1700","UPDATE_NODE_PART_EDGE_ARRAYS.E_ID","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: UPDATE_NODE_PART_EDGE_ARRAYS.E_ID","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.UPDATE_NODE_PART_EDGE_ARRAYS: 1269:1285","1700","MDSYS.NUM_ARRAY","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.NUM_ARRAY","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.UPDATE_NODE_PART_EDGE_ARRAYS: 1573:1576","1700","UPDATE_NODE_PART_EDGE_ARRAYS.E_ID","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: UPDATE_NODE_PART_EDGE_ARRAYS.E_ID","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.UPDATE_NODE_PART_EDGE_ARRAYS: 1742:1745","1700","UPDATE_NODE_PART_EDGE_ARRAYS.STMT","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: UPDATE_NODE_PART_EDGE_ARRAYS.STMT","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.UPDATE_NODE_PART_EDGE_ARRAYS: 2258:2261","1700","UPDATE_NODE_PART_EDGE_ARRAYS.STMT","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: UPDATE_NODE_PART_EDGE_ARRAYS.STMT","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.UPDATE_NODE_PART_EDGE_ARRAYS: 2524:2579","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.UPDATE_NODE_PART_EDGE_ARRAYS: 2661:2722","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Public procedures.CLEANUP_ROUTER: 94:117","1700","MDSYS.SDO_ROUTER_PARTITION.CLEAN_TABLES(BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.CLEAN_TABLES(BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Public procedures.CLEANUP_ROUTER: 107:116","1700","CLEANUP_ROUTER.ALL_TABLES","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: CLEANUP_ROUTER.ALL_TABLES","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Public procedures.CREATE_ROUTER_NETWORK: 455:482","1700","MDSYS.SDO_ROUTER_PARTITION.OPEN_LOG_FILE(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.OPEN_LOG_FILE(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Public procedures.CREATE_ROUTER_NETWORK: 469:481","1700","CREATE_ROUTER_NETWORK.LOG_FILE_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: CREATE_ROUTER_NETWORK.LOG_FILE_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Public procedures.CREATE_ROUTER_NETWORK: 589:600","1700","CREATE_ROUTER_NETWORK.NETWORK_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: CREATE_ROUTER_NETWORK.NETWORK_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Public procedures.CREATE_ROUTER_NETWORK: 679:692","1700","CREATE_ROUTER_NETWORK.L_NETWORK_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: CREATE_ROUTER_NETWORK.L_NETWORK_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Public procedures.CREATE_ROUTER_NETWORK: 727:740","1700","CREATE_ROUTER_NETWORK.L_NETWORK_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: CREATE_ROUTER_NETWORK.L_NETWORK_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Public procedures.CREATE_ROUTER_NETWORK: 775:788","1700","CREATE_ROUTER_NETWORK.L_NETWORK_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: CREATE_ROUTER_NETWORK.L_NETWORK_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Public procedures.CREATE_ROUTER_NETWORK: 824:837","1700","CREATE_ROUTER_NETWORK.L_NETWORK_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: CREATE_ROUTER_NETWORK.L_NETWORK_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Public procedures.CREATE_ROUTER_NETWORK: 856:928","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
